city,country,housing,cost_of_living,startups,venture_capital,travel_connectivity,commute,business_freedom,safety,healthcare,education,environmental_quality,economy,taxation,internet_access,leisure_and_culture,tolerance,outdoors,population,city_wd,gps_lon,gps_lat,year_high_c,year_mean_c,year_low_c,year_precipitation_mm,human_freedom,economic_freedom,personal_freedom
Aarhus,Denmark,6.132,4.015,2.827,2.512,3.536,6.312,9.94,9.617,8.704,5.366,7.633,4.887,5.068,8.373,3.187,9.739,4.13,269022,http://www.wikidata.org/entity/Q25319,10.209722222,56.156388888,11.4,7.7,3.8,725,4,5,8
Copenhagen,Denmark,4.227,3.426,6.207,4.467,6.3,6.296,9.94,9.152,7.985,5.301,8.272,4.887,5.068,7.24,7.063,9.096,4.671,602481,http://www.wikidata.org/entity/Q1748,12.568888888,55.676111111,12.2,9.2,6.2,522.6,4,5,8
Adelaide,Australia,6.31,4.692,3.136,2.64,1.777,5.336,9.4,7.926,7.937,5.142,8.331,6.07,4.588,4.341,4.328,7.822,5.531,1300000,http://www.wikidata.org/entity/Q5112,138.583333333,-34.933333333,22.4,,12.3,,11,6,17
Brisbane,Australia,5.212,5.177,6.343,3.24,2.434,4.618,9.4,7.904,8.318,5.921,8.828,6.07,4.588,4.408,4.01,7.49,6.257,2360241,http://www.wikidata.org/entity/Q34932,153.027777777,-27.467777777,26.5,,16.3,,11,6,17
Melbourne,Australia,4.83,4.798,8.204,5.02,2.847,4.872,9.4,7.132,8.016,6.22,7.891,6.07,4.588,5.896,6.461,7.0,6.203,4529500,http://www.wikidata.org/entity/Q3141,144.961388888,-37.820555555,20.4,16,11.4,,11,6,17
Perth,Australia,5.233,4.795,5.127,3.102,2.11,4.695,9.4,7.104,8.059,5.143,8.133,6.07,4.588,4.178,4.512,7.471,5.684,2039200,http://www.wikidata.org/entity/Q3183,115.858888888,-31.952222222,24.7,,11.5,,11,6,17
Sydney,Australia,1.986,4.128,8.727,6.427,3.285,4.851,9.4,7.571,8.034,6.726,7.817,6.07,4.588,4.736,6.228,7.033,6.264,4840600,http://www.wikidata.org/entity/Q3130,151.2,-33.866666666,22.5,18.6,14.5,,11,6,17
Albuquerque,United States,7.262,6.059,3.772,1.493,1.456,5.056,8.671,1.344,6.43,4.152,7.32,6.514,4.346,5.396,4.89,7.028,3.516,559277,http://www.wikidata.org/entity/Q34804,-106.616666666,35.116666666,20.4,13.9,7.5,240.1,23,7,33
Anchorage,United States,5.434,3.141,2.794,0.0,1.738,4.715,8.671,3.47,6.06,3.624,9.272,6.514,4.772,4.964,3.266,7.093,5.358,300950,http://www.wikidata.org/entity/Q39450,-149.899166666,61.218333333,6.6,,-5.2,,23,7,33
Asheville,United States,5.856,5.311,3.54,0.0,1.21,1.358,8.671,5.853,6.725,3.624,8.493,6.514,4.062,4.788,5.063,7.73,2.266,89121,http://www.wikidata.org/entity/Q648501,-82.555833333,35.58,19.3,,7.1,1157.6,23,7,33
Atlanta,United States,4.976,5.241,8.835,7.257,5.292,3.898,8.671,2.672,6.023,6.457,5.818,6.514,4.204,6.48,7.765,4.062,5.01,486290,http://www.wikidata.org/entity/Q23556,-84.390277777,33.756944444,22.1,16.9,11.7,1262.6,23,7,33
Austin,United States,4.334,5.355,9.236,6.939,1.852,4.33,8.671,5.069,6.282,5.315,7.031,6.514,4.772,9.049,6.698,6.79,3.909,912791,http://www.wikidata.org/entity/Q16559,-97.733333333,30.3,26.5,,15,871.9,23,7,33
Baltimore,United States,4.83,4.982,0.0,4.358,3.666,4.935,5.502,2.373,6.871,5.88,5.785,6.514,4.062,4.988,0.0,5.755,3.98,622104,http://www.wikidata.org/entity/Q5092,-76.615,39.286388888,19.1,,10.3,1038.5,23,7,33
