FIPS Code,County,State,"County, State",Median Monthly Rent (Studio),Median Monthly Rent (1-bedroom Flat),Median Monthly Rent (2-bedroom Flat),Median Monthly Rent (3-bedroom Flat),Median Monthly Rent (4-bedroom Flat),Median Annual Personal Income,Total Labour Force,Employed,Unemployed,Unemployment Rate,Adults with less than High School Diploma,Adults with High School Diploma,Adults completing a College Degree,Adults with Bachelor's Degree or higher,Overall Environmental Quality Score,Sociodemographic Domain Score,Air Domain Score,Water Domain Score,Built-Environment Domain Score,Land Domain Score,Quantile Median Monthly Rent (Studio),Quantile Median Monthly Rent (1-bedroom Flat),Quantile Median Monthly Rent (2-bedroom Flat),Quantile Median Monthly Rent (3-bedroom Flat),Quantile Median Monthly Rent (4-bedroom Flat),Quantile Median Annual Personal Income,Quantile Total Labour Force,Quantile Employed,Quantile Unemployed,Quantile Unemployment Rate,Quantile Adults with less than High School Diploma,Quantile Adults with High School Diploma,Quantile Adults completing a College Degree,Quantile Adults with Bachelor's Degree or higher,Quantile Overall Environmental Quality Score,Quantile Sociodemographic Domain Score,Quantile Air Domain Score,Quantile Water Domain Score,Quantile Built-Environment Domain Score,Quantile Land Domain Score,Quantile Aggregate Rent,Percentile Median Annual Personal Income,Percentile Median Annual Disposable Personal Income (2-bedroom Flat),Percentile Adults with Bachelor's Degree or higher,Percentile Overall Environmental Quality Score,Percentile Median Monthly Rent (Studio),Percentile Median Monthly Rent (1-bedroom Flat),Percentile Median Monthly Rent (2-bedroom Flat),Percentile Median Monthly Rent (3-bedroom Flat),Percentile Median Monthly Rent (4-bedroom Flat),Percentile Unemployment Rate,Percentile Aggregate Rent,Ranking Median Monthly Rent (Studio),Ranking Median Monthly Rent (1-bedroom Flat),Ranking Median Monthly Rent (2-bedroom Flat),Ranking Median Monthly Rent (3-bedroom Flat),Ranking Median Monthly Rent (4-bedroom Flat),Ranking Unemployed,Ranking Unemployment Rate,Ranking Median Annual Personal Income,Ranking Total Labour Force,Ranking Employed,Ranking Adults with less than High School Diploma,Ranking Adults with High School Diploma,Ranking Adults completing a College Degree,Ranking Adults with Bachelor's Degree or higher,Ranking Sociodemographic Domain Score,Ranking Built-Environment Domain Score,Ranking Air Domain Score,Ranking Land Domain Score,Ranking Water Domain Score,Ranking Overall Environmental Quality Score
1001,Autauga County,Alabama,"Autauga County, AL",687,816,976,1234,1596,48347,26341,25599,742,2.8,11.29,31.38,29.02,28.32,1.32,2.08,1.96,4.95,2.1,1.46,4,4,4,4,4,3,4,4,3,1,3,2,2,4,3,4,4,5,1,3,4,40.91632199,38.30734967,78.28507795,42.82532612,34.20299077,25.21476297,29.33503023,35.39611836,23.14667515,89.54820235,29.45911549,223,300,298,381,581,645,17,1762,892,876,919,1138,982,580,749,2898,995,1325,113,1798
1003,Baldwin County,Alabama,"Baldwin County, AL",872,878,1149,1523,1938,54659,99427,96481,2946,3,9.53,27.17,31.39,31.91,1.08,2.2,1.44,3.04,2.57,1.13,5,5,5,5,5,4,5,5,5,1,2,1,3,5,2,4,2,4,2,2,5,65.51065861,61.85173401,84.48934139,22.71714922,14.23798918,19.39230035,15.71746739,15.97200127,13.45847916,85.34839325,15.75564747,386,353,436,582,735,1256,19,1040,330,323,1082,1449,769,420,642,1939,2420,1899,1230,2430
1005,Barbour County,Alabama,"Barbour County, AL",558,562,739,914,1027,40428,8197,7728,469,5.7,25.27,35.74,27.38,11.61,1.47,1.31,1.51,4.95,2.67,1.55,2,1,1,1,1,1,2,2,3,4,5,3,2,1,3,2,2,5,3,4,1,8.908685969,10.11772192,5.981546293,55.1384028,73.3216672,90.62997136,83.55074769,93.00031817,91.40948139,22.12853961,86.38243716,94,52,65,70,89,446,46,2679,1853,1861,99,783,1119,1770,2350,1666,2273,1166,169,1411
1007,Bibb County,Alabama,"Bibb County, AL",834,895,1029,1331,1436,36892,8560,8262,298,3.5,19.12,45.07,24.46,11.35,1.31,1.24,1.72,4.95,1.89,2.41,5,5,4,4,4,1,3,3,2,2,5,5,1,1,3,1,3,5,1,5,4,2.831689469,1.654470251,5.058860961,41.77537385,16.16290169,17.80146357,22.93986637,25.97836462,34.5847916,74.18071906,23.49347757,358,365,346,462,470,287,24,2863,1815,1791,336,141,1345,1785,2543,3047,1595,285,160,1831
1009,Blount County,Alabama,"Blount County, AL",834,895,1029,1331,1436,42634,25127,24529,598,2.4,17.17,35.1,34.47,13.25,0.88,1.48,1.67,4.92,1.57,1.25,5,5,4,4,4,1,4,4,3,1,5,3,4,1,1,2,3,5,1,3,4,16.92650334,11.6131085,11.6131085,9.735921094,16.16290169,17.80146357,22.93986637,25.97836462,34.5847916,94.71842189,23.49347757,358,365,346,462,470,542,13,2445,920,903,460,836,495,1664,1926,3117,1766,1684,321,2838
1011,Bullock County,Alabama,"Bullock County, AL",620,635,825,1020,1220,33267,4606,4422,184,4,25.06,41.41,23.26,10.27,1.42,1.16,1.58,4.95,2.39,1.79,3,2,3,2,3,1,2,2,2,2,5,5,1,1,3,1,2,5,2,4,3,0.763601654,0.731784919,2.545338848,50.46134267,49.02958956,61.2631244,53.78619154,68.69233217,57.12694878,62.28125994,57.97963729,156,125,151,175,280,179,29,2928,2327,2311,105,356,1415,1836,2692,2441,2056,814,158,1558
1013,Butler County,Alabama,"Butler County, AL",580,678,772,954,1142,46050,8796,8328,468,5.3,13.65,46.49,23.91,15.96,1.63,1.23,1.89,4.96,2.56,1.38,2,3,2,1,2,2,3,3,3,4,4,5,1,2,4,1,4,5,2,3,2,30.41679924,32.86668788,25.48520522,65.92427617,61.89945912,47.21603563,65.57429208,84.15526567,70.07636017,28.61915367,65.78428253,116,168,98,109,203,445,42,2063,1790,1784,721,93,1379,1448,2553,1996,1139,1462,83,1072
1015,Calhoun County,Alabama,"Calhoun County, AL",595,599,788,1046,1177,42621,46118,44212,1906,4.1,14.93,34.45,31.77,18.86,1.6,1.69,1.9,4.94,2.58,1.43,3,2,2,2,2,1,5,5,4,2,4,3,3,3,4,3,4,5,2,3,2,16.86286987,17.56283805,41.91854916,63.72892141,56.42698059,74.91250398,61.83582564,62.34489341,64.46070633,59.43366211,63.99618199,131,89,114,201,238,1080,30,2447,620,615,618,893,735,1214,1391,1936,1115,1369,219,1141
1017,Chambers County,Alabama,"Chambers County, AL",698,702,917,1144,1244,39728,15752,15173,579,3.7,17.42,37.14,31,14.44,1.33,1.32,1.35,4.93,2.53,1.74,4,3,4,3,3,1,3,3,3,2,5,4,3,1,3,2,1,5,2,4,3,7.317849189,5.504295259,16.41743557,43.27076042,32.35762011,42.36398346,36.81196309,44.55933821,54.07254216,69.23321667,42.03308941,234,191,242,298,301,531,26,2728,1301,1287,441,668,802,1583,2323,2091,2603,885,287,1784
1019,Cherokee County,Alabama,"Cherokee County, AL",552,559,735,1024,1049,43719,11808,11512,296,2.5,17.18,39.15,30.74,12.93,1.36,1.23,1.56,4.94,2.56,1.04,2,1,1,2,1,2,3,3,2,1,5,4,3,1,3,1,2,5,2,2,1,21.31721285,23.57620108,10.45179765,45.94336621,75.2465797,91.66401527,86.06426981,67.51511295,86.36652879,93.57301941,81.3713013,88,49,61,179,111,286,14,2318,1541,1509,459,517,827,1685,2564,2006,2113,2055,255,1700
