FIPS Code,County,State,"County, State",Percentile Sociodemographic Domain Score,Percentile Air Domain Score,Percentile Water Domain Score,Percentile Built-Environment Domain Score,Percentile Land Domain Score,Percentile Adults with less than High School Diploma,Percentile Adults with High School Diploma,Percentile Adults completing a College Degree,Percentile Total Labour Force,Percentile Employed,Percentile Unemployed,Percentile Median Monthly Rent (Studio)
1001,Autauga County,Alabama,"Autauga County, AL",76.20108177,68.37416481,96.43652561,7.826916958,57.77919185,51.36811963,35.65065224,34.39389119,71.52402164,71.9376392,59.95863824,34.20299077
1003,Baldwin County,Alabama,"Baldwin County, AL",79.60547248,23.03531658,60.89723194,38.3391664,39.51638562,37.36875597,17.05377028,52.72033089,89.53229399,89.7231944,84.88705059,14.23798918
1005,Barbour County,Alabama,"Barbour County, AL",25.26248807,27.71237671,94.65478842,47.02513522,62.83805282,96.88195991,58.17690105,24.18071906,39.94591155,39.45275215,47.93191219,73.3216672
1007,Bibb County,Alabama,"Bibb County, AL",19.1218581,49.28412345,94.94113904,3.086223353,90.86859688,86.79605472,94.43207127,10.3245307,41.20267261,41.71174038,33.77346484,16.16290169
1009,Blount County,Alabama,"Blount County, AL",38.75278396,43.84346166,89.81864461,0.859051861,46.35698377,80.3372574,54.77251034,74.57842825,70.63315304,71.0467706,53.92936685,16.16290169
1011,Bullock County,Alabama,"Bullock County, AL",14.38116449,34.61660834,95.00477251,22.36716513,74.03754375,96.65924276,83.78937321,6.936048361,23.68755966,24.14890232,21.74673878,49.02958956
1013,Butler County,Alabama,"Butler County, AL",18.80369074,63.79255488,97.39102768,36.52561247,53.42029908,65.06522431,96.46834235,8.526885142,42.12535794,41.93445752,47.80464524,61.89945912
1015,Calhoun County,Alabama,"Calhoun County, AL",55.77473751,64.55615654,93.06395164,38.43461661,56.37925549,71.17403754,51.00222717,55.15431117,80.30544066,80.36907413,78.58733694,56.42698059
1017,Chambers County,Alabama,"Chambers County, AL",26.12153993,17.21285396,90.90041362,33.50302259,71.77855552,81.29175947,65.84473433,49.69774101,58.25644289,58.51097677,53.18167356,32.35762011
1019,Cherokee County,Alabama,"Cherokee County, AL",18.45370665,32.80305441,91.91854916,36.20744512,34.55297486,80.46452434,74.99204582,47.20012727,50.4931594,51.17721922,33.63028953,75.2465797
1021,Chilton County,Alabama,"Chilton County, AL",36.33471206,40.34362074,92.71396755,7.126948775,70.44225262,83.66210627,90.39134585,11.78810054,64.36525612,64.84250716,52.52943048,48.64778874
1023,Choctaw County,Alabama,"Choctaw County, AL",7.254215717,46.92968501,71.20585428,40.40725422,89.02322622,80.81450843,60.34043907,65.79700923,23.54438435,23.95800191,23.4171174,85.79382755
1025,Clarke County,Alabama,"Clarke County, AL",14.41298123,49.34775692,97.29557747,56.63378937,85.39611836,81.13267579,84.6325167,23.30575883,38.05281578,37.67101495,47.37511931,85.79382755
1027,Clay County,Alabama,"Clay County, AL",4.327076042,51.16131085,91.63219854,28.92141266,71.96945593,85.26885142,78.39643653,38.37098314,31.59401845,32.13490296,19.6627426,95.72064906
1029,Cleburne County,Alabama,"Cleburne County, AL",7.38148266,54.08845052,89.1823099,1.59083678,81.45084314,82.34171174,71.79446389,26.6783328,30.57588291,31.21221763,18.24689787,85.79382755
1031,Coffee County,Alabama,"Coffee County, AL",60.48361438,46.16608336,96.05472479,29.74864779,17.2446707,68.45370665,17.94463888,85.06204263,67.13331212,67.80146357,54.26344257,57.5087496
1033,Colbert County,Alabama,"Colbert County, AL",50.17499205,43.49347757,90.39134585,53.8020999,20.80814508,68.08781419,65.3674833,52.17944639,69.07413299,69.32866688,65.73337576,73.3216672
1035,Conecuh County,Alabama,"Conecuh County, AL",4.549793191,14.82659879,97.20012727,8.399618199,80.4327076,71.82628062,96.86605154,10.06999682,22.74896596,22.71714922,24.89659561,85.79382755
1037,Coosa County,Alabama,"Coosa County, AL",4.167992364,67.92873051,93.82755329,0.28635062,83.74164811,79.08049634,86.38243716,39.230035,22.70124085,22.97168311,16.49697741,58.90868597
